"Query"	"NodeId"	"ExtNodeId"	"Loc_start"
"GLKT0ZE01CVMRS"	"195"	"753"	"652"
"GLKT0ZE01C9HXQ"	"195"	"753"	"624"
"GLKT0ZE01EB37Y"	"195"	"753"	"624"
"GLKT0ZE01DIJZQ"	"195"	"753"	"601"
"GLKT0ZE01AMZWS"	"195"	"753"	"624"
"GLKT0ZE01EPGPD"	"195"	"753"	"624"
"GLKT0ZE01A27JG"	"195"	"753"	"624"
"GLKT0ZE01EYGYR"	"195"	"753"	"624"
"GLKT0ZE01BLHN1"	"195"	"753"	"612"
"GLKT0ZE01BHJXY"	"195"	"753"	"630"
"GLKT0ZE01D48M1"	"195"	"753"	"624"
"GLKT0ZE01DRL19"	"195"	"753"	"624"
"GLKT0ZE01C0XEY"	"195"	"753"	"624"
"GLKT0ZE01B2EWB"	"195"	"753"	"601"
"GLKT0ZE01DFWYU"	"195"	"753"	"624"
"GLKT0ZE01EPJ1W"	"195"	"753"	"620"
"GLKT0ZE01CT4QV"	"195"	"753"	"643"
"GLKT0ZE01EHI8P"	"195"	"753"	"624"
"GLKT0ZE01BTQAX"	"195"	"753"	"650"
"GLKT0ZE01EAOLP"	"195"	"753"	"601"
"GLKT0ZE01EBRBY"	"195"	"753"	"625"
"GLKT0ZE01BMD0C"	"195"	"753"	"624"
"GLKT0ZE01BDW7H"	"195"	"753"	"601"
"GLKT0ZE01CZH3E"	"195"	"753"	"611"
"GLKT0ZE01DB8VC"	"195"	"753"	"601"
"GLKT0ZE01A35HY"	"195"	"753"	"620"
"GLKT0ZE01CXGI9"	"195"	"753"	"624"
"GLKT0ZE01AOYDT"	"195"	"753"	"643"
"GLKT0ZE01DTYTK"	"195"	"753"	"624"
"GLKT0ZE01EPH83"	"195"	"753"	"624"
"GLKT0ZE01C7R8W"	"195"	"753"	"620"
"GLKT0ZE01CDFPS"	"195"	"753"	"624"
"GLKT0ZE01AK4D4"	"195"	"753"	"638"
"GLKT0ZE01CCE6R"	"195"	"753"	"630"
"GLKT0ZE01CJFYR"	"195"	"753"	"624"
"GLKT0ZE01ENIGR"	"195"	"753"	"624"
"GLKT0ZE01DIJ3W"	"195"	"753"	"647"
"GLKT0ZE01D529M"	"195"	"753"	"638"
"GLKT0ZE01EC2WM"	"195"	"753"	"601"
"GLKT0ZE01EO9GF"	"195"	"753"	"628"
"GLKT0ZE01BS9GM"	"195"	"753"	"644"
"GLKT0ZE01DGF7P"	"195"	"753"	"601"
"GLKT0ZE01BAXYI"	"195"	"753"	"620"
"GLKT0ZE01A795U"	"195"	"753"	"620"
"GLKT0ZE01CNGKT"	"195"	"753"	"630"
"GLKT0ZE01EEBWX"	"195"	"753"	"624"
"GLKT0ZE01DC4S8"	"195"	"753"	"630"
"GLKT0ZE01BBRVP"	"195"	"753"	"610"
"GLKT0ZE01A8GUZ"	"195"	"753"	"601"
"GLKT0ZE01CK1AO"	"195"	"753"	"624"
"GLKT0ZE01EMR3V"	"195"	"753"	"624"
"GLKT0ZE01EIMV5"	"195"	"753"	"610"
"GLKT0ZE01CMA6Y"	"195"	"753"	"620"
"GLKT0ZE01DFYM3"	"195"	"753"	"620"
"GLKT0ZE01DPO80"	"195"	"753"	"598"
"GLKT0ZE01BI3M9"	"195"	"753"	"624"
"GLKT0ZE01DNJL6"	"195"	"753"	"624"
"GLKT0ZE01CGNPC"	"195"	"753"	"601"
"GLKT0ZE01B32PR"	"195"	"753"	"601"
"GLKT0ZE01COALJ"	"195"	"753"	"653"
"GLKT0ZE01COALJ"	"591"	"953"	"1572"
"GLKT0ZE01EMN2N"	"195"	"753"	"620"
"GLKT0ZE01EF5OA"	"195"	"753"	"630"
"GLKT0ZE01B9MS2"	"195"	"753"	"610"
"GLKT0ZE01DZFEM"	"195"	"753"	"619"
"GLKT0ZE01EAVQ9"	"195"	"753"	"624"
"GLKT0ZE01AQ50I"	"195"	"753"	"601"
"GLKT0ZE01AILA3"	"195"	"753"	"624"
"GLKT0ZE01DOZX6"	"195"	"753"	"647"
"GLKT0ZE01DCP3V"	"195"	"753"	"601"
"GLKT0ZE01DLKFY"	"195"	"753"	"601"
"GLKT0ZE01COK82"	"195"	"753"	"601"
"GLKT0ZE01C5BSL"	"195"	"753"	"601"
"GLKT0ZE01AQRUW"	"195"	"753"	"624"
"GLKT0ZE01DJYJ2"	"195"	"753"	"620"
"GLKT0ZE01C4FBC"	"195"	"753"	"661"
"GLKT0ZE01DUCPP"	"195"	"753"	"624"
"GLKT0ZE01AT1UK"	"195"	"753"	"634"
"GLKT0ZE01BAU3U"	"195"	"753"	"624"
"GLKT0ZE01C7T60"	"195"	"753"	"601"
"GLKT0ZE01BMC6H"	"195"	"753"	"624"
"GLKT0ZE01B8IG6"	"195"	"753"	"624"
"GLKT0ZE01D6FOD"	"195"	"753"	"624"
"GLKT0ZE01D41NU"	"195"	"753"	"601"
"GLKT0ZE01BP8E6"	"195"	"753"	"624"
"GLKT0ZE01CM7DT"	"195"	"753"	"630"
"GLKT0ZE01ELGZ8"	"195"	"753"	"610"
"GLKT0ZE01CYHAW"	"195"	"753"	"644"
"GLKT0ZE01AMKDW"	"195"	"753"	"624"
"GLKT0ZE01EVWLH"	"195"	"753"	"610"
"GLKT0ZE01CAERY"	"195"	"753"	"620"
"GLKT0ZE01A9S5T"	"195"	"753"	"618"
"GLKT0ZE01EB253"	"195"	"753"	"630"
"GLKT0ZE01A96PC"	"195"	"753"	"620"
"GLKT0ZE01DSUE3"	"195"	"753"	"601"
"GLKT0ZE01CXYPI"	"195"	"753"	"635"
"GLKT0ZE01BZGUW"	"195"	"753"	"624"
