node_label;node_id;PPCounter;log10(PP*)
117;68;33;-5.739023757182426
85;6;33;-3.732849629456689
86;7;33;-3.7387523283963744
119;72;33;-5.681438967075097
87;11;33;-4.303272420203594
88;12;33;-3.7822055581202427
121;77;33;-4.602906310695571
89;15;33;-4.690740000314811
90;16;33;-3.8894700118886902
123;81;33;-4.4146210881919865
93;21;33;-4.7985970359988155
125;86;33;-4.163549562408055
95;25;33;-5.000648084714862
127;90;33;-4.519526609151747
98;30;33;-5.976397468210965
130;96;33;-5.492272550297293
100;34;33;-5.874271854328662
132;100;33;-5.606521694326657
102;39;33;-5.720861664084615
107;50;33;-4.102319300844107
109;54;33;-4.083518654204013
112;59;33;-4.328937975289419
114;63;33;-4.449713495580357
82;1;34;-2.836612150537595
83;2;34;-2.7731476562225077
84;3;34;-2.6627396096453055
148;132;34;-4.834898632598521
85;6;34;-2.997972398302169
86;7;34;-2.746953726246962
87;11;34;-3.002870473348737
88;12;34;-2.6524275625440374
89;15;34;-3.4037337922170483
154;143;34;-4.828594382452543
90;16;34;-2.717381512219565
91;19;34;-5.141929707612143
156;147;34;-4.82875799534092
92;20;34;-5.467358506702027
93;21;34;-3.5642073683036233
95;25;34;-3.7859024337337086
98;30;34;-5.337438253453485
100;34;34;-5.435336754777204
102;39;34;-4.364844046413333
104;43;34;-4.981253676311218
106;49;34;-4.953426143356769
107;50;34;-2.9145209309885884
108;53;34;-4.826336069645667
109;54;34;-2.927077602635441
110;57;34;-4.74574206596806
111;58;34;-4.747498018339989
112;59;34;-3.1694400282689217
113;62;34;-4.812324933789814
114;63;34;-3.2297969184373194
115;66;34;-4.963140742224185
116;67;34;-5.359879378844064
117;68;34;-4.508380632325495
119;72;34;-4.822437765941665
120;76;34;-3.31222576652838
121;77;34;-2.806143523211505
122;80;34;-3.0645784823080997
123;81;34;-2.4907560633685892
124;85;34;-3.1125881419395314
125;86;34;-2.3841052648434924
126;89;34;-2.996545619174125
127;90;34;-2.22727575298588
130;96;34;-2.528724913060687
132;100;34;-2.580479505900512
138;112;34;-3.150142565114112
140;116;34;-3.424077041124326
82;1;35;-3.5529668374269674
83;2;35;-3.471137823855621
84;3;35;-3.184406926276692
117;68;35;-5.303877226775747
85;6;35;-3.7288926652311782
86;7;35;-3.275863371724775
119;72;35;-5.557948954459362
87;11;35;-3.756150309626422
88;12;35;-3.0860335528746368
120;76;35;-4.462142819703656
121;77;35;-3.476224524315652
89;15;35;-4.238175016450851
90;16;35;-3.1969437777513536
122;80;35;-4.134208948997651
123;81;35;-3.1437594175116157
93;21;35;-4.212729131291929
124;85;35;-5.851627625541775
125;86;35;-3.572445846067059
95;25;35;-4.434232255712879
127;90;35;-3.8241883689297156
130;96;35;-4.607981548145559
132;100;35;-4.699349555142265
102;39;35;-5.018239864680889
104;43;35;-5.661199687568817
138;112;35;-5.375197816328899
107;50;35;-3.4539705768566598
140;116;35;-5.744960384270982
109;54;35;-3.481754071312367
112;59;35;-3.795978222741855
114;63;35;-3.8515011593216064
82;1;36;-3.4395167122416246
83;2;36;-3.2910027366313326
84;3;36;-3.10640202106768
117;68;36;-4.080919489046392
85;6;36;-3.596371462406971
86;7;36;-3.1584694371631232
119;72;36;-4.374291225996236
87;11;36;-3.7269890892713518
88;12;36;-3.299988275568824
120;76;36;-4.894756750974063
121;77;36;-3.3996335555071444
89;15;36;-4.119620641272651
90;16;36;-3.4372948173490645
122;80;36;-5.007425608334725
123;81;36;-3.5171192643722313
93;21;36;-3.3518132801278395
124;85;36;-5.255518088555844
125;86;36;-3.382093596810388
95;25;36;-3.469849301100625
126;89;36;-5.555433359655782
127;90;36;-3.819067327569946
98;30;36;-4.554336757340096
130;96;36;-4.806414899567026
100;34;36;-4.689264695618298
132;100;36;-4.88418810903407
102;39;36;-3.8367924645663383
104;43;36;-4.30516831211231
138;112;36;-5.293644387753786
107;50;36;-3.147640781328953
140;116;36;-5.685828339616604
109;54;36;-3.1431660696172723
112;59;36;-3.185452438522304
114;63;36;-3.2096787737707544
82;1;37;-3.3012735121390495
83;2;37;-2.9835213081682084
84;3;37;-2.8809165683593565
148;132;37;-5.80184562179882
117;68;37;-4.076162753566678
85;6;37;-3.010755424286206
86;7;37;-2.7609351535685778
119;72;37;-4.369715475995349
87;11;37;-3.557734305267569
88;12;37;-3.2595335513041275
120;76;37;-4.893908880557623
121;77;37;-3.3837907285112845
89;15;37;-3.7576810171494373
154;143;37;-5.805343002465708
90;16;37;-3.2623457555220066
122;80;37;-5.0067582612646255
123;81;37;-3.5015131550924288
